timestamp,latitude,longitude,speed_kmh
1731643752,36.9767533,-1.4374466,206.0
1732939700,36.980095,-1.4393083,122.0
1732980686,36.97977,-1.43763,105.0
1733024941,36.9765066,-1.4375516,313.0
1733117169,0.0,0.0,0.0
1733118963,0.0,0.0,0.0
1733118966,36.9799083,-1.4369016,53.0
1733118996,36.9799083,-1.4369016,53.0
1733119026,36.9799083,-1.4369016,53.0
1733119056,36.9799083,-1.4369016,53.0
1733119086,36.9799083,-1.4369016,53.0
1733119116,36.9799083,-1.4369016,53.0
1733119146,36.9799083,-1.4369016,53.0
1733119176,36.9799083,-1.4369016,53.0
1733119206,36.9799083,-1.4369016,53.0
1733119236,36.9799083,-1.4369016,53.0
1733119266,36.9799083,-1.4369016,53.0
1733119296,36.9799083,-1.4369016,53.0
1733119326,36.9799083,-1.4369016,53.0
1733119356,36.9799083,-1.4369016,53.0
1733119386,36.9799083,-1.4369016,53.0
1733119416,36.9799083,-1.4369016,53.0
1733119446,36.9799083,-1.4369016,53.0
1733119476,36.9799083,-1.4369016,53.0
1733119506,36.9799083,-1.4369016,53.0
1733119536,36.9799083,-1.4369016,53.0
1733119566,36.9799083,-1.4369016,53.0
1733119596,36.9799083,-1.4369016,53.0
1733119626,36.9799083,-1.4369016,53.0
1733119656,36.9799083,-1.4369016,53.0
1733119686,36.9799083,-1.4369016,53.0
1733119716,36.9799083,-1.4369016,53.0
1733119746,36.9799083,-1.4369016,53.0
1733119776,36.9799083,-1.4369016,53.0
1733119806,36.9799083,-1.4369016,53.0
1733119836,36.9799083,-1.4369016,53.0
1733119866,36.9799083,-1.4369016,53.0
1733119896,36.9799083,-1.4369016,53.0
1733119926,36.9799083,-1.4369016,53.0
1733119956,36.9799083,-1.4369016,53.0
1733119986,36.9799083,-1.4369016,53.0
1733120016,36.9799083,-1.4369016,53.0
1733120046,36.9799083,-1.4369016,53.0
1733120076,36.9799083,-1.4369016,53.0
1733120106,36.9799083,-1.4369016,53.0
1733120136,36.9799083,-1.4369016,53.0
1733120166,36.9799083,-1.4369016,53.0
1733120196,36.9799083,-1.4369016,53.0
1733120226,36.9799083,-1.4369016,53.0
1733120256,36.9799083,-1.4369016,53.0
1733120286,36.9799083,-1.4369016,53.0
1733120316,36.9799083,-1.4369016,53.0
1733120346,36.9799083,-1.4369016,53.0
1733120376,36.9799083,-1.4369016,53.0
1733120406,36.9799083,-1.4369016,53.0
1733120436,36.9799083,-1.4369016,53.0
1733120466,36.9799083,-1.4369016,53.0
1733120496,36.9799083,-1.4369016,53.0
1733120526,36.9799083,-1.4369016,53.0
1733120556,36.9799083,-1.4369016,53.0
1733120586,36.9799083,-1.4369016,53.0
1733120616,36.9799083,-1.4369016,53.0
1733120646,36.9799083,-1.4369016,53.0
1733120676,36.9799083,-1.4369016,53.0
1733120706,36.9799083,-1.4369016,53.0
1733120736,36.9799083,-1.4369016,53.0
1733120766,36.9799083,-1.4369016,53.0
1733120796,36.9799083,-1.4369016,53.0
1733120826,36.9799083,-1.4369016,53.0
1733120856,36.9799083,-1.4369016,53.0
1733120886,36.9799083,-1.4369016,53.0
1733120916,36.9799083,-1.4369016,53.0
1733120946,36.9799083,-1.4369016,53.0
1733120976,36.9799083,-1.4369016,53.0
1733121006,36.9799083,-1.4369016,53.0
1733121036,36.9799083,-1.4369016,53.0
1733121066,36.9799083,-1.4369016,53.0
1733121096,36.9799083,-1.4369016,53.0
1733121126,36.9799083,-1.4369016,53.0
1733121156,36.9799083,-1.4369016,53.0
1733121186,36.9799083,-1.4369016,53.0
1733121216,36.9799083,-1.4369016,53.0
1733121246,36.9799083,-1.4369016,53.0
1733121276,36.9799083,-1.4369016,53.0
1733121306,36.9799083,-1.4369016,53.0
1733121336,36.9799083,-1.4369016,53.0
1733121366,36.9799083,-1.4369016,53.0
1733121396,36.9799083,-1.4369016,53.0
1733121426,36.9799083,-1.4369016,53.0
1733121456,36.9799083,-1.4369016,53.0
1733121486,36.9799083,-1.4369016,53.0
1733121516,36.9799083,-1.4369016,53.0
1733121546,36.9799083,-1.4369016,53.0
1733121576,36.9799083,-1.4369016,53.0
1733121606,36.9799083,-1.4369016,53.0
1733121636,36.9799083,-1.4369016,53.0
1733121666,36.9799083,-1.4369016,53.0
1733121696,36.9799083,-1.4369016,53.0
1733121726,36.9799083,-1.4369016,53.0
1733121756,36.9799083,-1.4369016,53.0
1733121786,36.9799083,-1.4369016,53.0
1733121816,36.9799083,-1.4369016,53.0
1733121846,36.9799083,-1.4369016,53.0
1733121876,36.9799083,-1.4369016,53.0
1733121906,36.9799083,-1.4369016,53.0
1733121936,36.9799083,-1.4369016,53.0
1733121966,36.9799083,-1.4369016,53.0
1733121996,36.9799083,-1.4369016,53.0
1733122026,36.9799083,-1.4369016,53.0
1733122056,36.9799083,-1.4369016,53.0
1733122086,36.9799083,-1.4369016,53.0
1733122116,36.9799083,-1.4369016,53.0
1733122146,36.9799083,-1.4369016,53.0
1733122176,36.9799083,-1.4369016,53.0
1733122206,36.9799083,-1.4369016,53.0
1733122236,36.9799083,-1.4369016,53.0
1733122266,36.9799083,-1.4369016,53.0
1733122296,36.9799083,-1.4369016,53.0
1733122326,36.9799083,-1.4369016,53.0
1733122356,36.9799083,-1.4369016,53.0
1733122386,36.9799083,-1.4369016,53.0
1733122416,36.9799083,-1.4369016,53.0
1733122446,36.9799083,-1.4369016,53.0
1733122476,36.9799083,-1.4369016,53.0
1733122506,36.9799083,-1.4369016,53.0
1733122536,36.9799083,-1.4369016,53.0
1733122566,36.9799083,-1.4369016,53.0
1733122596,36.9799083,-1.4369016,53.0
1733122626,36.9799083,-1.4369016,53.0
1733122656,36.9799083,-1.4369016,53.0
1733122686,36.9799083,-1.4369016,53.0
1733122716,36.9799083,-1.4369016,53.0
1733122746,36.9799083,-1.4369016,53.0
1733122776,36.9799083,-1.4369016,53.0
1733122806,36.9799083,-1.4369016,53.0
1733122836,36.9799083,-1.4369016,53.0
1733122866,36.9799083,-1.4369016,53.0
1733122896,36.9799083,-1.4369016,53.0
1733122926,36.9799083,-1.4369016,53.0
1733122956,36.9799083,-1.4369016,53.0
1733122986,36.9799083,-1.4369016,53.0
1733123016,36.9799083,-1.4369016,53.0
1733123046,36.9799083,-1.4369016,53.0
1733123076,36.9799083,-1.4369016,53.0
1733123106,36.9799083,-1.4369016,53.0
